h3_05,year,orig_time_granularity_count/orig_time_granularity_avg
852aaeb7fffffff,2016,0.01844240699757614079
852aaeb7fffffff,2017,0.03685800293836622728
852aaeb7fffffff,2018,0.00180371462142606831
852aaeaffffffff,2016,0.03911599432106604097
852aaeaffffffff,2017,0.07363946170178430734
852aaeaffffffff,2018,0.00488456701401365433
852aaeabfffffff,2016,0.01523295541096337562
852aaeabfffffff,2017,0.03364064130133923819
852aaeabfffffff,2018,0.00337313634217095055
852aaea7fffffff,2016,0.07409313838893258687
852aaea7fffffff,2017,0.10698166472140610716
852aaea7fffffff,2018,0.00729224312857406383
852aaea3fffffff,2016,0.02197256532803674508
852aaea3fffffff,2017,0.04454225530663367240
852aaea3fffffff,2018,0.00570575483659863389
852aae7bfffffff,2016,0.04854314014466267146
852aae7bfffffff,2017,0.14220297926105956108
852aae7bfffffff,2018,0.00533334700069703555
852aae77fffffff,2016,0.03148292011630746066
852aae77fffffff,2017,0.05526124788307040119
852aae77fffffff,2018,0.00162737433053780850
852aae73fffffff,2016,0.06054207862912574997
852aae73fffffff,2017,0.13713840459725333593
852aae73fffffff,2018,0.00268989368515434866
852aae6ffffffff,2016,0.00199988889506138548
852aae6ffffffff,2017,0.01067634655420914963
852aae6ffffffff,2018,0.00021433929911049191
852aae67fffffff,2016,0.01338066630256690333
852aae67fffffff,2017,0.03912522734329947212
852aae67fffffff,2018,0.00027041034770263875
852aae63fffffff,2016,0.04372365165496808996
852aae63fffffff,2017,0.07783814017079852713
852aae63fffffff,2018,0.00349688388791321511
852aae47fffffff,2016,0.01441361532278182776
852aae47fffffff,2017,0.05691134026206317159
852aae47fffffff,2018,0.00805836872481759773
852aae3bfffffff,2016,0.03357722762353412850
852aae3bfffffff,2017,0.08863217646765921426
852aae3bfffffff,2018,0.00248638703100524628
852aae37fffffff,2016,0.00850779374677159612
852aae37fffffff,2017,0.03509568824401573521
852aae37fffffff,2018,0.00439008144357988434
852aae33fffffff,2016,0.01634651008745831977
852aae33fffffff,2017,0.02563878957007063748
852aae33fffffff,2018,0.00215744980626981331
852aae2ffffffff,2016,0.23446232722966715753
852aae2ffffffff,2017,0.49859030801055942943
852aae2ffffffff,2018,0.03841661051951728070
852aae2bfffffff,2016,0.14877864592664506237
852aae2bfffffff,2017,0.35879866283046538072
852aae2bfffffff,2018,0.01714342382228932985
852aae27fffffff,2016,0.03563870561950874342
852aae27fffffff,2017,0.05918334032181141352
852aae27fffffff,2018,0.00134808493562110662
852aae23fffffff,2016,0.03712538774048051324
852aae23fffffff,2017,0.09151966780822811058
852aae23fffffff,2018,0.00253110490638866698
852aae0ffffffff,2016,0.01529664718837789624
852aae0ffffffff,2017,0.03758894977915916898
852aae0ffffffff,2018,0.00240880410260588807
852aae07fffffff,2016,0.01315047905316550817
852aae07fffffff,2017,0.03909241123604562125
852aae07fffffff,2018,0.00280198380453360980
852aad7bfffffff,2016,0.00518292682926829268
852aad7bfffffff,2017,0.02148612354521038496
852aad7bfffffff,2018,0.00660264105642256903
852aad6ffffffff,2016,0.02077562326869806094
852aad6ffffffff,2017,0.39030955585464333782
852aad6ffffffff,2018,0.11693548387096774194
852aad6bfffffff,2016,0.00185366251120345474
852aad6bfffffff,2017,0.02204635387224420577
852aad6bfffffff,2018,0.00761665620422682570
852aad5bfffffff,2016,0.01101380549925427359
852aad5bfffffff,2017,0.03814311058545239503
852aad5bfffffff,2018,0.00757182094870462475
852aad4ffffffff,2016,0.00376779235277700251
852aad4ffffffff,2017,0.02387650085763293310
852aad4ffffffff,2018,0.00084334809192494202
852aad4bfffffff,2016,0.01404415482276276614
852aad4bfffffff,2017,0.06611193434401003078
852aad4bfffffff,2018,0.00790513833992094862
852aad43fffffff,2016,0.04289544235924932976
852aad43fffffff,2017,0.09011627906976744186
