h3_d,pop_dens,geometry
892a10c4a0bffff,81.0,"POLYGON ((-73.80849360708324 41.06358547817806, -73.81061440110527 41.06264723635179, -73.81055155644079 41.06087973293986, -73.80836808030244 41.06005046975172, -73.80624736277558 41.060988641813715, -73.80631004489149 41.062756146825286, -73.80849360708324 41.06358547817806))"
892a100c343ffff,1796.0,"POLYGON ((-73.9072407759921 40.71149232910853, -73.90934390980132 40.710556047707804, -73.90927783129557 40.70879625180138, -73.90710877909801 40.70797273537273, -73.90500572015692 40.70890894721098, -73.90507163854484 40.71066874503758, -73.9072407759921 40.71149232910853))"
892a106210fffff,847.0,"POLYGON ((-74.11888258539175 40.60799534452026, -74.12097721806865 40.60705629069074, -74.1209033628682 40.60529877044816, -74.11873503437916 40.60448030145276, -74.11664047519835 40.60541928550952, -74.11671417100999 40.607176808331644, -74.11888258539175 40.60799534452026))"
892a100d933ffff,3194.0,"POLYGON ((-73.92049821220253 40.666233931704326, -73.92259907923894 40.6652978990268, -73.9225325675583 40.663539102469834, -73.92036534864924 40.66271633662481, -73.91826455627155 40.66365229976541, -73.9183309081438 40.665411098285176, -73.92049821220253 40.666233931704326))"
892a10c5babffff,20.0,"POLYGON ((-73.85789735162928 41.05967115034704, -73.86001706293482 41.05873202610592, -73.85995235637346 41.0569645997929, -73.85776810102354 41.0561362959638, -73.85564846595317 41.05707535036949, -73.85571300999713 41.058842778436876, -73.85789735162928 41.05967115034704))"
892a10385b7ffff,9.0,"POLYGON ((-73.72815677523535 40.59991157764774, -73.73025816776278 40.598979827508586, -73.73019894844663 40.59722253573126, -73.72803849597528 40.59639699272139, -73.72593717883949 40.597328673679755, -73.72599623878303 40.59908596682599, -73.72815677523535 40.59991157764774))"
892a1062b4fffff,840.0,"POLYGON ((-74.14222158714321 40.5545606196076, -74.14431341208814 40.55362172815961, -74.14423876820264 40.55186539457232, -74.14207245839529 40.5510479497774, -74.13998070666459 40.55198677147246, -74.14005519152649 40.55374310771256, -74.14222158714321 40.5545606196076))"
892a1001ed7ffff,666.0,"POLYGON ((-73.85446143909758 40.84774237402126, -73.85657165069803 40.84680559319085, -73.85650736566092 40.84504280269814, -73.85433303007764 40.84421679128172, -73.85222289404317 40.84515350249278, -73.85228701802555 40.84691629473676, -73.85446143909758 40.84774237402126))"
892a1031673ffff,251.0,"POLYGON ((-73.6611535721658 40.63850272535885, -73.66325789857558 40.637571798373166, -73.66320114020378 40.63581366693631, -73.66104021505946 40.63498646132294, -73.65893596449338 40.635917319191115, -73.65899256322759 40.637675451787366, -73.6611535721658 40.63850272535885))"
892a1039e77ffff,413.0,"POLYGON ((-73.85098834553966 40.57568292393203, -73.85308643343369 40.574749166548536, -73.85302265000836 40.572992388750045, -73.85086093788877 40.572169366581825, -73.84876292470744 40.573103054623544, -73.84882654893259 40.57485983417247, -73.85098834553966 40.57568292393203))"
892a100f393ffff,1525.0,"POLYGON ((-73.90310401118964 40.77239876545952, -73.90520995002547 40.771461897692525, -73.90514394105523 40.769700758168355, -73.90297215378284 40.76887648450306, -73.9008662900301 40.76981328265277, -73.90093213846623 40.77157442408223, -73.90310401118964 40.77239876545952))"
892a1018853ffff,822.0,"POLYGON ((-73.88349996797169 40.937029423806365, -73.88561366925002 40.93609113869897, -73.88554816694638 40.93432638588985, -73.88336912503053 40.9334999163466, -73.8812554994618 40.93443813170178, -73.88132084009888 40.936202886349584, -73.88349996797169 40.937029423806365))"
892a100d8cbffff,3690.0,"POLYGON ((-73.94732154772626 40.69721704497526, -73.94942331044712 40.6962801773918, -73.94935574887866 40.69452069216369, -73.94718658460546 40.69369807247113, -73.94508489650939 40.694634870446436, -73.9451522980613 40.69639435771965, -73.94732154772626 40.69721704497526))"
