h3_d,traffic,geometry
84195c1ffffffff,13114.0,"POLYGON ((-1.9475671459692359 52.87637761485581, -2.287496068364392 52.81435617554106, -2.3411951190078764 52.594859217486814, -2.0570650886113504 52.43797191215002, -1.719768577693418 52.50001226681744, -1.6639830990893418 52.71891873856535, -1.9475671459692359 52.87637761485581))"
84195ebffffffff,2311.0,"POLYGON ((-2.9676908364812125 52.68678789603714, -3.307908835590353 52.62123414198425, -3.3578211702985428 52.39998516616108, -3.0696677353261417 52.24485951667906, -2.732038029192461 52.31039900844115, -2.679986373412196 52.53107596751697, -2.9676908364812125 52.68678789603714))"
841955dffffffff,5258.0,"POLYGON ((-2.7331111199996663 55.014798631472935, -3.0879683939589393 54.95448634950422, -3.1408814044348734 54.73942069050105, -2.8412664523552937 54.585211124020965, -2.4892362620813047 54.64548365273509, -2.4340087219451827 54.86000282870409, -2.7331111199996663 55.014798631472935))"
8419083ffffffff,648.0,"POLYGON ((-5.815458549713152 56.73572265301107, -6.1860042761457095 56.6690736548158, -6.228584753801764 56.455442943787745, -5.903325128390768 56.308915790636014, -5.535676773407251 56.37538818657389, -5.490405227376496 56.58856086774983, -5.815458549713152 56.73572265301107))"
84194edffffffff,7497.0,"POLYGON ((0.5083742960131257 52.470965769122905, 0.1750419713268154 52.41572004060963, 0.1132952652774396 52.1986635433904, 0.382980340751182 52.037492126629566, 0.7136747369671699 52.09284753169542, 0.7773082053426663 52.30926292063635, 0.5083742960131257 52.470965769122905))"
8419431ffffffff,7412.0,"POLYGON ((-0.3116993939681175 52.95311847358758, -0.6494442641172558 52.896298081905755, -0.7089180511097389 52.67919444525404, -0.432639780981291 52.51952948273036, -0.0975673632187002 52.576424923539044, -0.0361147185732641 52.79290831054853, -0.3116993939681175 52.95311847358758))"
8419553ffffffff,2726.0,"POLYGON ((-2.24918384448471 54.27479589990647, -2.5984191322663994 54.21454867493818, -2.652383998519509 53.99814072462999, -2.359345317825497 53.84254342327844, -2.0128729306382325 53.90277945716153, -1.9566906938824733 54.11862149162413, -2.24918384448471 54.27479589990647))"
84195e5ffffffff,3621.0,"POLYGON ((-4.23552616399571 52.861614092847155, -4.578382413982972 52.79243904276302, -4.623875442147185 52.57009084693667, -4.328757570532218 52.41745697108976, -3.988466202581432 52.48657155678575, -3.940740314589315 52.708377782132416, -4.23552616399571 52.861614092847155))"
8419725ffffffff,7090.0,"POLYGON ((-3.7485262918440214 56.47745814623005, -4.115016545961623 56.416835650657156, -4.1655054990318705 56.20462887944475, -3.8520437538091574 56.05354833901545, -3.4885106650556708 56.114069933078895, -3.4354977398916904 56.325769922042774, -3.7485262918440214 56.47745814623005))"
84194e3ffffffff,8914.0,"POLYGON ((0.9158575576213399 51.71374559754104, 0.5877680563112744 51.6582689001643, 0.52548548567213 51.4401151112708, 0.7894710716359985 51.2780948734949, 1.1149883150638074 51.33370413631495, 1.1790789199713982 51.55119947481316, 0.9158575576213399 51.71374559754104))"
84194e5ffffffff,8855.5,"POLYGON ((0.1132952652774396 52.1986635433904, -0.2191374344592494 52.1416808182628, -0.2792642267932731 51.923429301732135, -0.0088681486694039 51.762796838769574, 0.3209572175984165 51.81987874103719, 0.382980340751182 52.037492126629566, 0.1132952652774396 52.1986635433904))"
841908bffffffff,1518.0,"POLYGON ((-5.39873777982882 57.012904960724015, -5.770979156000359 56.948125098097364, -5.815458549713152 56.73572265301107, -5.490405227376496 56.58856086774983, -5.1211138215843 56.6531727994977, -5.073940849336985 56.86511101788732, -5.39873777982882 57.012904960724015))"
8419723ffffffff,8608.0,"POLYGON ((-2.817075105893367 56.02015723892314, -3.1790549911884862 55.96156092895616, -3.232662173506672 55.74913520825947, -2.926717706486088 55.59583470316195, -2.567674436211736 55.65437091823219, -2.5116546491596647 55.86626492386992, -2.817075105893367 56.02015723892314))"
84195e3ffffffff,3653.0,"POLYGON ((-3.3578211702985428 52.39998516616108, -3.696817322674666 52.33267125401867, -3.7450965221206105 52.110258505649284, -3.456534537191969 51.95572451333033, -3.1200893425065535 52.02301409660756, -3.0696677353261417 52.24485951667906, -3.3578211702985428 52.39998516616108))"
8419555ffffffff,5189.5,"POLYGON ((-3.1408814044348734 54.73942069050105, -3.4944287278558823 54.67729204593729, -3.5455616550358346 54.46100601698996, -3.2454801786992586 54.30738762809664, -2.894717926649783 54.36946680868478, -2.8412664523552937 54.585211124020965, -3.1408814044348734 54.73942069050105))"
8419437ffffffff,9262.0,"POLYGON ((-0.7089180511097389 52.67919444525404, -1.0456718790577637 52.6206195165182, -1.103494346730036 52.40231696237898, -0.8265638049775317 52.24320415411095, -0.492449420292738 52.30184375904422, -0.432639780981291 52.51952948273036, -0.7089180511097389 52.67919444525404))"
841972dffffffff,5597.0,"POLYGON ((-3.328180913980186 56.74718245808715, -3.6961364371045873 56.6884189507176, -3.7485262918440214 56.47745814623005, -3.4354977398916904 56.325769922042774, -3.070547149389502 56.38444188408021, -3.01563624229656 56.59489061693194, -3.328180913980186 56.74718245808715))"
84195edffffffff,3093.0,"POLYGON ((-3.8441992428094536 53.15019864830769, -4.188377820213872 53.08279673559096, -4.23552616399571 52.861614092847155, -3.940740314589315 52.708377782132416, -3.5991663870192054 52.77572902805712, -3.549786522387839 52.99636458924467, -3.8441992428094536 53.15019864830769))"
841955bffffffff,2672.0,"POLYGON ((-1.843030793119116 54.54842988051593, -2.1934670251225694 54.48998398073054, -2.24918384448471 54.27479589990647, -1.9566906938824733 54.11862149162413, -1.6090565564501307 54.17706614785891, -1.551128223751166 54.39168401096838, -1.843030793119116 54.54842988051593))"
84195c7ffffffff,10767.0,"POLYGON ((-2.3411951190078764 52.594859217486814, -2.679986373412196 52.53107596751697, -2.732038029192461 52.31039900844115, -2.4474030878716255 52.154089253404706, -2.111208324596382 52.21788122281217, -2.0570650886113504 52.43797191215002, -2.3411951190078764 52.594859217486814))"
8419429ffffffff,9531.0,"POLYGON ((-0.9744261926913429 54.07635111434092, -1.320388206673679 54.01967903455429, -1.3787347888982984 53.804416678736246, -1.093244866733979 53.64641708882183, -0.7500555275465403 53.70312545760413, -0.6895980901110196 53.91779490572579, -0.9744261926913429 54.07635111434092))"
84194a5ffffffff,7710.0,"POLYGON ((-0.457066500598724 51.26521391401484, -0.7850760944822384 51.20468949014294, -0.8423483509129407 50.983547530682785, -0.5734974307177894 50.82356886138601, -0.2480030688302645 50.88418280048087, -0.1888571206002735 51.10468408424408, -0.457066500598724 51.26521391401484))"
8419585ffffffff,7201.0,"POLYGON ((-3.1200893425065535 52.02301409660756, -3.456534537191969 51.95572451333033, -3.505343642283591 51.73272257423428, -3.2198193399033754 51.577585137691486, -2.8858983624278505 51.644863067798326, -2.8349898758090024 51.86728769081595, -3.1200893425065535 52.02301409660756))"
8419413ffffffff,3145.0,"POLYGON ((1.5064520940764745 52.62999102873953, 1.1741013424177231 52.57809625443504, 1.1088446634075162 52.362889095315474, 1.3740996907033793 52.2002300804246, 1.703787401372266 52.25226719173328, 1.7708690474901205 52.466819399121064, 1.5064520940764745 52.62999102873953))"
84195a3ffffffff,3537.0,"POLYGON ((-3.887796601255635 51.43954352306408, -4.221807501103972 51.36877454450329, -4.267444953340611 51.14349702000106, -3.9811872278487312 50.98955367382511, -3.649627885402723 51.06029064574157, -3.601886449335048 51.28500049834819, -3.887796601255635 51.43954352306408))"
84195b9ffffffff,5612.5,"POLYGON ((-2.6551773603146875 51.26557953029522, -2.9866007657014273 51.198300907861224, -3.036402633475406 50.97417364697017, -2.756809466953425 50.81791979447403, -2.4278571007773357 50.8852111237168, -2.376038954151443 51.108741374360854, -2.6551773603146875 51.26557953029522))"
841958bffffffff,7491.0,"POLYGON ((-1.8846778964264161 51.83976108703744, -2.2183050268640825 51.77594783138261, -2.271266991829784 51.554114861770486, -1.9926215982984172 51.39669848571347, -1.6615334244358186 51.46054525866226, -1.6065644025410095 51.6817727465481, -1.8846778964264161 51.83976108703744))"
84194abffffffff,7037.0,"POLYGON ((0.7269453743110895 51.05941742296283, 0.4022389513239568 51.00210285649395, 0.3412659959096388 50.78225435242318, 0.6032064615419144 50.62038323546258, 0.925400547102214 50.67783060548925, 0.9881536742732812 50.897014726475454, 0.7269453743110895 51.05941742296283))"
84192b5ffffffff,882.5,"POLYGON ((-4.4022224454741385 58.18186565945178, -4.782541705942945 58.12257035157693, -4.832128370609764 57.9146947479545, -4.504167746912054 57.76658303048726, -4.126991114873297 57.82571987945591, -4.074649368895614 58.03312351198522, -4.4022224454741385 58.18186565945178))"
841976dffffffff,1931.0,"POLYGON ((-2.7342995936332164 57.6370945052422, -3.10823700758953 57.58197238211071, -3.163900143155531 57.374286598662394, -2.8482124005404197 57.222232629472416, -2.4774126747908296 57.27726577671322, -2.4191802859918137 57.484438877791355, -2.7342995936332164 57.6370945052422))"
84195adffffffff,3126.0,"POLYGON ((-4.374848504674366 52.1944919553097, -4.713836061736165 52.12362137819722, -4.758311219715988 51.89950984639003, -4.4660000869576715 51.746813365129135, -4.129513118199026 51.817626771053575, -4.082848689452333 52.04119118138093, -4.374848504674366 52.1944919553097))"
841951bffffffff,13002.0,"POLYGON ((-2.4137994168752215 53.62548715235881, -2.7590839129137006 53.56346419535518, -2.8118280856764892 53.34520400150838, -2.5214774417487247 53.18953552286989, -2.1788859209290266 53.25155105071479, -2.123965868733989 53.469240038353114, -2.4137994168752215 53.62548715235881))"
84195abffffffff,10137.0,"POLYGON ((-3.505343642283591 51.73272257423428, -3.8405822694203735 51.663689633435816, -3.887796601255635 51.43954352306408, -3.601886449335048 51.28500049834819, -3.269135743808343 51.35401160736395, -3.2198193399033754 51.577585137691486, -3.505343642283591 51.73272257423428))"
84192b3ffffffff,4106.5,"POLYGON ((-3.4276701632043314 57.73316035900423, -3.8032758095873134 57.67604663636835, -3.8563066413718285 57.46786317012882, -3.536381138969177 57.317287967143464, -3.163900143155531 57.374286598662394, -3.10823700758953 57.58197238211071, -3.4276701632043314 57.73316035900423))"
841958dffffffff,4393.0,"POLYGON ((-2.732038029192461 52.31039900844115, -3.0696677353261417 52.24485951667906, -3.1200893425065535 52.02301409660756, -2.8349898758090024 51.86728769081595, -2.4999205862383618 51.93282571281686, -2.4474030878716255 52.154089253404706, -2.732038029192461 52.31039900844115))"
84194adffffffff,15254.0,"POLYGON ((-0.0692940978798749 51.543996089430806, -0.3982242646620345 51.485190990482394, -0.457066500598724 51.26521391401484, -0.1888571206002735 51.10468408424408, 0.1375276379247935 51.16358931854568, 0.198235424470603 51.38292248124412, -0.0692940978798749 51.543996089430806))"
84190c1ffffffff,760.0,"POLYGON ((-5.54293856837508 58.000007926343436, -5.922949295033546 57.936733963382714, -5.96771577935341 57.727153236360294, -5.635302233075714 57.58129209932859, -5.258355948588892 57.64437264529432, -5.210774689530541 57.85350415738145, -5.54293856837508 58.000007926343436))"
8419513ffffffff,10386.5,"POLYGON ((-2.8118280856764892 53.34520400150838, -3.1558995499871223 53.28139914998044, -3.206952240464345 53.06194573007344, -2.9161271801966984 52.906861390067036, -2.574710409127166 52.97064882258873, -2.5214774417487247 53.18953552286989, -2.8118280856764892 53.34520400150838))"
8419485ffffffff,10052.0,"POLYGON ((1.1149883150638074 51.33370413631495, 0.7894710716359985 51.2780948734949, 0.7269453743110895 51.05941742296283, 0.9881536742732812 50.897014726475454, 1.31113089703371 50.9527674856765, 1.3754267608770283 51.17077792679788, 1.1149883150638074 51.33370413631495))"
84195a5ffffffff,7581.5,"POLYGON ((-4.758311219715988 51.89950984639003, -5.095974655253904 51.826891210916145, -5.138853351484172 51.60164584203814, -4.846269738843434 51.44955823774882, -4.511068269733461 51.522109808622666, -4.4660000869576715 51.746813365129135, -4.758311219715988 51.89950984639003))"
8419415ffffffff,1242.5,"POLYGON ((0.6999061811229852 53.116725041237515, 0.3629988700845644 53.063327159303455, 0.2998889605792325 52.84805632123376, 0.5717546204319861 52.68681682516413, 0.9059592695930241 52.740322844829585, 0.9709866085705763 52.954958433271635, 0.6999061811229852 53.116725041237515))"
8419583ffffffff,10663.0,"POLYGON ((-2.271266991829784 51.554114861770486, -2.6038036105138413 51.488565849802725, -2.6551773603146875 51.26557953029522, -2.376038954151443 51.108741374360854, -2.046007407283445 51.17431350251981, -1.9926215982984172 51.39669848571347, -2.271266991829784 51.554114861770486))"
8419765ffffffff,865.0,"POLYGON ((-3.163900143155531 57.374286598662394, -3.536381138969177 57.317287967143464, -3.5900690647841698 57.10833683707346, -3.273866682542633 56.9568887785022, -2.9044742354196362 57.013788983822224, -2.8482124005404197 57.222232629472416, -3.163900143155531 57.374286598662394))"
84192bdffffffff,154.0,"POLYGON ((-3.9686393846396215 58.445872836399374, -4.35060302699051 58.38847759060403, -4.4022224454741385 58.18186565945178, -4.074649368895614 58.03312351198522, -3.695882864334192 58.09036932741895, -3.641509755768361 58.2965033787441, -3.9686393846396215 58.445872836399374))"
8419407ffffffff,5570.0,"POLYGON ((-0.1269143711643511 53.59897939343111, -0.4683625808633799 53.54398956917153, -0.5291713353834577 53.32869998456034, -0.2505591566288708 53.16901279799396, 0.0881496903952254 53.224075392796365, 0.1509712148568348 53.43875040067282, -0.1269143711643511 53.59897939343111))"
8419591ffffffff,11376.0,"POLYGON ((-1.441706176742335 51.08028037353338, -1.7702838748075804 51.01638818845673, -1.8240736320665871 50.79346886359795, -1.551224554425308 50.63506408583753, -1.2251290590785342 50.69901324135018, -1.169412791364052 50.921308228531196, -1.441706176742335 51.08028037353338))"
841956bffffffff,2421.0,"POLYGON ((-4.722628638574616 55.28445728591925, -5.081752165733634 55.218417762964336, -5.127401261396808 55.00180330135116, -4.8164146673359705 54.851725901663656, -4.460076567781134 54.917652385038245, -4.411953650823026 55.13376622442356, -4.722628638574616 55.28445728591925))"
8419463ffffffff,3028.0,"POLYGON ((-0.5673096872014503 54.345268907795685, -0.9143406956744738 54.2903853145996, -0.9744261926913429 54.07635111434092, -0.6895980901110196 53.91779490572579, -0.3453759486192545 53.97272494827599, -0.2831880444415273 54.186162577745385, -0.5673096872014503 54.345268907795685))"
8419729ffffffff,9247.5,"POLYGON ((-2.6492963785703902 56.651708723392126, -3.01563624229656 56.59489061693194, -3.070547149389502 56.38444188408021, -2.761596038021763 56.2313353016333, -2.398272957156876 56.2880872982386, -2.340900516697889 56.49800913410281, -2.6492963785703902 56.651708723392126))"
84190d7ffffffff,1005.0,"POLYGON ((-4.7030308505621825 56.92785629445429, -5.073940849336985 56.86511101788732, -5.1211138215843 56.6531727994977, -4.800029464620632 56.504457302193494, -4.432091066020293 56.56706008245584, -4.38228087377666 56.77851756895556, -4.7030308505621825 56.92785629445429))"
84195e9ffffffff,3829.5,"POLYGON ((-3.206952240464345 53.06194573007344, -3.549786522387839 52.99636458924467, -3.5991663870192054 52.77572902805712, -3.307908835590353 52.62123414198425, -2.9676908364812125 52.68678789603714, -2.9161271801966984 52.906861390067036, -3.206952240464345 53.06194573007344))"
84190d1ffffffff,4589.0,"POLYGON ((-4.281427926516645 57.19942426181257, -4.653930733454295 57.138551275144934, -4.7030308505621825 56.92785629445429, -4.38228087377666 56.77851756895556, -4.012800722101954 56.8392570852694, -3.961063857813644 57.04946555598064, -4.281427926516645 57.19942426181257))"
8419559ffffffff,989.5,"POLYGON ((-2.080737082897575 54.91846417682084, -2.4340087219451827 54.86000282870409, -2.4892362620813047 54.64548365273509, -2.1934670251225694 54.48998398073054, -1.843030793119116 54.54842988051593, -1.7855433613315903 54.762388366240536, -2.080737082897575 54.91846417682084))"
84194e9ffffffff,7875.5,"POLYGON ((1.1088446634075162 52.362889095315474, 0.7773082053426663 52.30926292063635, 0.7136747369671699 52.09284753169542, 0.9797275709118567 51.93070916744754, 1.3086298792471793 51.98446717094166, 1.3740996907033793 52.2002300804246, 1.1088446634075162 52.362889095315474))"
8419465ffffffff,10395.0,"POLYGON ((-1.4339335525018744 54.81902902370526, -1.7855433613315903 54.762388366240536, -1.843030793119116 54.54842988051593, -1.551128223751166 54.39168401096838, -1.2023594868287244 54.44833340634301, -1.142667374167699 54.66171753702536, -1.4339335525018744 54.81902902370526))"
8419089ffffffff,1517.0,"POLYGON ((-5.680905616975902 57.37091274308833, -6.0561262148244035 57.305948117540645, -6.099779406034807 57.09432928810397, -5.770979156000359 56.948125098097364, -5.39873777982882 57.012904960724015, -5.352332650811875 57.22407024696136, -5.680905616975902 57.37091274308833))"
